id,tag_name,created_at
1,sunset,"2023-03-23 12:54:02"
2,photography,"2023-03-23 12:54:02"
3,sunrise,"2023-03-23 12:54:02"
4,landscape,"2023-03-23 12:54:02"
5,food,"2023-03-23 12:54:02"
6,foodie,"2023-03-23 12:54:02"
7,delicious,"2023-03-23 12:54:02"
8,beauty,"2023-03-23 12:54:02"
9,stunning,"2023-03-23 12:54:02"
10,dreamy,"2023-03-23 12:54:02"
11,lol,"2023-03-23 12:54:02"
12,happy,"2023-03-23 12:54:02"
13,fun,"2023-03-23 12:54:02"
14,style,"2023-03-23 12:54:02"
15,hair,"2023-03-23 12:54:02"
16,fashion,"2023-03-23 12:54:02"
17,party,"2023-03-23 12:54:02"
18,concert,"2023-03-23 12:54:02"
19,drunk,"2023-03-23 12:54:02"
20,beach,"2023-03-23 12:54:02"
21,smile,"2023-03-23 12:54:02"
